Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,birth_date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",01-Jan,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,,,,26-04-10,Paris,France
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",01-Jan,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,24-09-04,Copenhagen,Denmark
1903,Peace,The Nobel Peace Prize 1903,,01-Jan,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,,,,22-07-08,London,United Kingdom
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",01-Feb,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,25-08-08,,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",01-Apr,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,19-04-06,Paris,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",01-Apr,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,,,,04-07-34,Sallanches,France
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",01-Jan,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,23-07-16,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",01-Feb,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,,,,25-03-14,Maillane,France
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",01-Feb,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,,,,04-09-16,Madrid,Spain
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",01-Jan,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia,27-02-36,Leningrad,Russia
1904,Peace,The Nobel Peace Prize 1904,,01-Jan,467,Organization,Institut de droit international (Institute of International Law),,,,,,,,,,
1904,Physics,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",01-Jan,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,30-06-19,,United Kingdom
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",01-Jan,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,20-08-17,Starnberg,Germany
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",01-Jan,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,,,,15-11-16,Vevey,Switzerland
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",01-Jan,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,27-05-10,Baden-Baden,Germany
1905,Peace,The Nobel Peace Prize 1905,,01-Jan,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Female,,,,21-06-14,Vienna,Austria
1905,Physics,The Nobel Prize in Physics 1905,"""for his work on cathode rays""",01-Jan,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany,20-05-47,Messelhausen,Germany
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",01-Jan,165,Individual,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,20-02-07,Paris,France
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",01-Jan,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Male,,,,16-02-07,Bologna,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",01-Feb,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy,21-01-26,Pavia,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",01-Feb,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain,17-10-34,Madrid,Spain
1906,Peace,The Nobel Peace Prize 1906,,01-Jan,470,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,Male,,,,06-01-19,"Oyster Bay, NY",United States of America
1906,Physics,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",01-Jan,10,Individual,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,30-08-40,Cambridge,United Kingdom
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",01-Jan,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,13-08-17,Focsani,Romania
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",01-Jan,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),Male,,,,18-01-36,London,United Kingdom
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases""",01-Jan,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France,18-05-22,Paris,France
1907,Peace,The Nobel Peace Prize 1907,,01-Feb,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Male,,,,10-02-18,Milan,Italy
1907,Peace,The Nobel Peace Prize 1907,,01-Feb,472,Individual,Louis Renault,1843-05-21,Autun,France,Male,Sorbonne University,Paris,France,08-02-18,Barbizon,France
1907,Physics,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",01-Jan,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America,09-05-31,"Pasadena, CA",United States of America
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",01-Jan,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,19-10-37,Cambridge,United Kingdom
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",01-Jan,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Male,,,,14-09-26,Jena,Germany
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",01-Feb,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,Paris,France,15-07-16,Paris,France
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",01-Feb,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Göttingen,Germany,20-08-15,Bad Homburg vor der Höhe,Germany
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",01-Feb,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany,20-08-15,Bad Homburg vor der Höhe,Germany
1908,Peace,The Nobel Peace Prize 1908,,01-Feb,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male,,,,20-02-16,Stockholm,Sweden
1908,Peace,The Nobel Peace Prize 1908,,01-Feb,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male,,,,22-01-22,Copenhagen,Denmark
1908,Physics,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",01-Jan,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,13-07-21,,
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",01-Jan,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,04-04-32,Leipzig,Germany
1909,Literature,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",01-Jan,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,,,,16-03-40,Mårbacka,Sweden
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",01-Jan,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland,27-07-17,Berne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,,01-Feb,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Male,,,,06-10-12,Lucerne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,,01-Feb,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,Male,,,,15-05-24,Paris,France
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",01-Feb,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,20-07-37,Rome,Italy
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",01-Feb,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",20-04-18,"Brooklyn, NY",United States of America
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",01-Jan,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany,26-02-31,Göttingen,Germany
1910,Literature,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",01-Jan,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Male,,,,02-04-14,Munich,Germany
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",01-Jan,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany,05-07-27,Heidelberg,Germany
1910,Peace,The Nobel Peace Prize 1910,,01-Jan,477,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,,,,,
1910,Physics,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",01-Jan,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,08-03-23,Amsterdam,Netherlands
1911,Chemistry,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",01-Jan,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,04-07-34,Sallanches,France
1911,Literature,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",01-Jan,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Male,,,,06-05-49,Nice,France
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye""",01-Jan,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden,28-07-30,Stockholm,Sweden
1911,Peace,The Nobel Peace Prize 1911,,01-Feb,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Male,,,,29-07-13,the Hague,Netherlands
1911,Peace,The Nobel Peace Prize 1911,,01-Feb,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male,,,,05-05-21,Vienna,Austria
1911,Physics,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",01-Jan,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany,30-08-28,Munich,Germany
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",01-Feb,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,13-12-35,Lyon,France
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",01-Feb,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,14-08-41,Toulouse,France
1912,Literature,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",01-Jan,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,,,,06-06-46,Agnetendorf (Jagniatków),Germany (Poland)
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",01-Jan,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,05-11-44,Paris,France
1912,Peace,The Nobel Peace Prize 1912,,01-Jan,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",United States of America,Male,,,,07-02-37,"New York, NY",United States of America
1912,Physics,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",01-Jan,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden,09-12-37,Stockholm,Sweden
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",01-Jan,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,15-11-19,Zurich,Switzerland
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",01-Jan,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,,,,07-08-41,Calcutta,India
1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,"""in recognition of his work on anaphylaxis""",01-Jan,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,Male,Sorbonne University,Paris,France,04-12-35,Paris,France
1913,Peace,The Nobel Peace Prize 1913,,01-Jan,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Male,,,,14-05-43,Brussels,Belgium
1913,Physics,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",01-Jan,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands,21-02-26,Leiden,Netherlands
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",01-Jan,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,02-04-28,"Cambridge, MA",United States of America
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus""",01-Jan,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Male,Vienna University,Vienna,Austria,08-04-36,Uppsala,Sweden
1914,Physics,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",01-Jan,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,23-04-60,Berlin,West Germany (Germany)
1915,Chemistry,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",01-Jan,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany,03-08-42,Locarno,Switzerland
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",01-Jan,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,Male,,,,30-12-44,Vézelay,France
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",01-Feb,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,Male,University College,London,United Kingdom,12-03-42,London,United Kingdom
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",01-Feb,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom,01-07-71,Ipswich,United Kingdom
1916,Literature,The Nobel Prize in Literature 1916,"""in recognition of his significance as the leading representative of a new era in our literature""",01-Jan,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Male,,,,20-05-40,Övralid,Sweden
1917,Literature,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",01-Feb,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Male,,,,11-10-19,Klotzsche,Germany
1917,Literature,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark""",01-Feb,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Male,,,,21-08-43,Ordrup,Denmark
1917,Peace,The Nobel Peace Prize 1917,,01-Jan,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,,,,
1917,Physics,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",01-Jan,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,23-10-44,Edinburgh,Scotland
1918,Chemistry,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",01-Jan,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,29-01-34,Basel,Switzerland
1918,Physics,The Nobel Prize in Physics 1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",01-Jan,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig (Germany),Male,Berlin University,Berlin,Germany,04-10-47,Göttingen,West Germany (Germany)
1919,Literature,The Nobel Prize in Literature 1919,"""in special appreciation of his epic, <I>Olympian Spring</I>""",01-Jan,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Male,,,,29-12-24,Lucerne,Switzerland
1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,"""for his discoveries relating to immunity""",01-Jan,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Male,Brussels University,Brussels,Belgium,06-04-61,Brussels,Belgium
1919,Peace,The Nobel Peace Prize 1919,,01-Jan,483,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",United States of America,Male,,,,03-02-24,"Washington, DC",United States of America
1919,Physics,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",01-Jan,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany,21-06-57,Traunstein,West Germany (Germany)
1920,Chemistry,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",01-Jan,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany,18-11-41,Muskau,Germany
1920,Literature,The Nobel Prize in Literature 1920,"""for his monumental work, <I>Growth of the Soil</I>""",01-Jan,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Male,,,,19-02-52,Grimstad,Norway
1920,Medicine,The Nobel Prize in Physiology or Medicine 1920,"""for his discovery of the capillary motor regulating mechanism""",01-Jan,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,Male,Copenhagen University,Copenhagen,Denmark,13-09-49,Copenhagen,Denmark
1920,Peace,The Nobel Peace Prize 1920,,01-Jan,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,Male,,,,29-09-25,Épernay,France
1920,Physics,The Nobel Prize in Physics 1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",01-Jan,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,13-06-38,Sèvres,France
1921,Chemistry,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",01-Jan,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,22-09-56,Brighton,United Kingdom
