Product Type,Quantity,Cost of Goods Sold,Net Sales,Gross Profit
life,60,2262,2881.21,619.21
beauty,76,2463.62,3077.07,613.45
life,105,1170.45,1753.23,582.78
appliances,17,1207.34,1787.49,580.15
appliances,34,8257.48,8835.61,578.13
appliances,26,564.2,1140.31,576.11
appliances,17,2324.75,2896.87,572.12
appliances,10,1736.7,2304.92,568.22
life,124,2127.44,2694.74,567.3
appliances,17,1249.5,1804.74,555.24
appliances,10,909.63,1459.9,550.27
life,11,378.07,907.65,529.58
life,120,472.8,995.78,522.98
appliances,22,636.26,1158.92,522.66
life,96,604.8,1120.81,516.01
life,111,962.18,1473.88,511.7
life,60,347.4,855.56,508.16
life,80,1008,1513.22,505.22
life,106,4452,4947,495
life,101,636.3,1130.3,494
beauty,780,4475,4957.82,482.84
appliances,23,1384.83,1867.36,482.53
beauty,43,1179.31,1659.41,480.13
appliances,13,1994.39,2462.88,468.49
appliances,52,1285.96,1744.41,458.45
appliances,10,919.06,1373.51,454.47
life,100,525,978.82,453.82
appliances,6,1980,2429.65,449.65
appliances,16,888.64,1337.97,449.33
maternal,7,770,1214.71,444.71
life,40,2514.8,2955.87,441.07
beauty,425,2106.73,2547.63,440.91
appliances,9,1266.86,1702.9,436.04
appliances,10,768.8,1198.18,429.38
beauty,13,1564.55,1990.55,426.05
life,62,488.56,899.46,410.9
beauty,85,872.42,1281.95,409.54
life,623,2053.8,2460.93,407.13
appliances,10,366.45,772.11,405.66
life,25,404.75,801.25,396.5
appliances,15,487.5,875.96,388.46
beauty,10,797.22,1183.07,385.85
beauty,108,1084.03,1468.84,384.81
life,118,878.93,1260.57,381.64
appliances,99,1019.68,1398.07,378.39
life,90,401.4,774.62,373.22
appliances,16,560,928.97,368.97
appliances,9,720.09,1081.95,361.86
appliances,12,328.2,684.41,356.21
appliances,4,697,1051.96,354.96
appliances,9,2339.49,2691,351.51
life,38,204.44,554.98,350.54
appliances,5,960.75,1299.95,339.2
life,16,130.56,464.53,333.97
life,168,297.84,629.52,331.68
appliances,6,661.5,992.94,331.44
life,204,425.34,756.15,330.81
appliances,13,195.52,519.87,324.35
life,31,315.3,639.6,324.3
life,57,568.86,892.85,323.99
life,38,570.37,891.93,321.56
appliances,16,888.48,1208.58,320.1
life,48,2520,2839.9,319.9
appliances,20,283,596.45,313.45
life,50,485.5,795.42,309.92
appliances,13,450.45,759.4,308.95
beauty,68,629.13,937.47,308.34
appliances,17,739.84,1046.78,306.94
appliances,21,488.46,794.23,305.77
life,40,1252.8,1556.1,303.3
appliances,11,173.25,474.88,301.63
beauty,11,319,617.91,298.91
life,49,1264.2,1562.52,298.32
beauty,6,1239.38,1535.11,295.73
appliances,6,461.28,755.94,294.66
appliances,29,435,725.67,290.67
beauty,6,808.47,1094.91,286.44
appliances,5,472.5,756.98,284.48
beauty,53,1163.45,1445.66,282.21
appliances,25,1442.5,1721.76,279.26
life,49,304.22,582.46,278.24
appliances,18,469.98,740.84,270.86
life,57,2693.25,2961.39,268.14
life,50,174.5,440.43,265.93
life,45,425.25,691,265.75
life,116,70.76,335.89,265.13
life,45,614.25,879.3,265.05
beauty,78,919.79,1182.7,262.91
beauty,51,573.76,835.39,261.63
life,341,1284.2,1543.65,259.45
appliances,16,369.6,628.52,258.92
life,219,562.32,816.79,254.52
life,20,336,587.82,251.82
beauty,86,569.32,818.15,248.83
life,100,341,588.03,247.03
appliances,45,910.34,1155.41,245.07
beauty,18,709.24,954.21,244.97
life,36,183.6,423.03,239.43
appliances,5,1065.48,1303.96,238.48
appliances,7,282.38,519.94,237.56
appliances,10,250,487.4,237.4
life,18,244.8,482.01,237.21
life,27,156.06,391.42,235.36
life,53,573.6,807.68,234.08
life,61,446.52,679,232.48
beauty,33,359.65,591.69,232.04
beauty,50,551.65,780.28,228.63
beauty,16,714.68,943.14,228.46
appliances,14,242.34,470.67,228.33
beauty,125,440,667.21,227.21
beauty,24,388.8,615.54,226.74
life,20,187.8,414.14,226.34
appliances,8,392,614.43,222.43
life,25,354.5,575.21,220.71
life,107,98.44,315.91,217.47
appliances,4,363.08,579.96,216.88
life,110,576.1,792.29,216.19
appliances,5,246.75,459.95,213.2
life,101,79.79,292.09,212.3
beauty,28,872,1083.46,211.46
beauty,33,215.49,421.32,205.83
appliances,37,1110,1315.34,205.34
life,34,483.41,688.25,204.84
appliances,4,151.2,355.96,204.76
beauty,141,2541.84,2745.47,203.63
beauty,25,332.27,534.96,202.69
beauty,14,519.23,721.17,201.94
life,34,1606.5,1807.61,201.11
life,21,154.35,355.1,200.75
life,60,188.4,388.91,200.51
beauty,21,422.38,622.76,200.38
beauty,6,779.64,977.94,198.3
life,18,567,765,198
maternal,6,468,664.21,196.21
maternal,59,344.8,539.28,194.48
life,254,2758,2951.4,193.4
life,72,449.11,642.13,193.02
life,5,40.8,232.84,192.04
beauty,48,267.36,458.58,191.22
beauty,102,629.04,819.16,190.12
beauty,10,306.7,494.91,188.21
snacks,158,363.4,551.29,187.89
beauty,62,452.46,639.31,186.85
appliances,26,360.1,546.92,186.82
maternal,15,325.45,511.35,185.9
appliances,6,341.19,526.11,184.92
life,38,344.4,528.88,184.48
appliances,10,200,384.36,184.36
life,75,964,1147.28,183.28
appliances,6,450.72,633.52,182.8
life,96,186.24,367.44,181.2
beauty,31,300.36,481.06,180.7
life,46,450.56,630.97,180.41
life,20,336,515.95,179.95
life,63,367.2,546.63,179.43
life,60,57.6,235.09,177.49
beauty,43,344,520.49,176.49
beauty,22,416.36,590.71,174.35
life,79,373.67,547.8,174.13
appliances,2,942.14,1116,173.86
appliances,11,201.52,374.89,173.37
appliances,5,545,717.96,172.96
N/A,18,0,171.18,171.18
beauty,52,547.76,717.18,169.42
beauty,28,250.04,419.32,169.28
appliances,3,635.25,803.97,168.72
beauty,63,314.2,482.75,168.55
life,4,153.92,322.44,168.52
beauty,4,47.2,215.59,168.39
life,12,504,671.92,167.92
life,13,204.75,372.57,167.82
appliances,7,205.53,373.17,167.64
beauty,27,444.91,611.53,166.62
appliances,4,186.92,350.96,164.04
beauty,7,702.88,866.71,163.83
appliances,5,672.3,835.96,163.66
appliances,22,115.19,278.22,163.03
beauty,11,269.28,431.9,162.62
beauty,47,296.1,458.49,162.39
life,18,162,324,162
beauty,5,78.4,239.58,161.18
appliances,7,507.15,668.26,161.11
beauty,30,253.05,413.67,160.62
life,45,299.19,457.94,158.75
appliances,7,818.37,977.05,158.68
life,30,283.5,441.35,157.85
life,179,187.95,345.62,157.67
life,2,144,299.98,155.98
appliances,2,1155,1310.75,155.75
life,38,33.82,189.24,155.42
appliances,7,264.6,419.93,155.33
snacks,354,389.4,544.7,155.3
beauty,27,978.21,1132.97,154.76
beauty,34,500.35,655.01,154.66
beauty,18,409.78,563.72,153.94
appliances,4,139.56,292.51,152.95
life,11,304.98,457.34,152.36
beauty,85,526.19,678.02,151.83
life,26,310,461.25,151.25
life,26,245.56,396.72,151.16
beauty,52,566.54,717.09,150.55
beauty,13,715.85,865.76,149.91
beauty,35,312.55,461.78,149.23
snacks,127,571.5,720.47,148.97
beauty,172,1720,1868.89,148.89
beauty,5,140,288.88,148.88
beauty,46,668.96,817.4,148.44
beauty,4,94.4,242.38,147.98
life,23,205.49,353.02,147.53
appliances,10,494.1,640.69,146.59
life,12,97.92,243.92,146
appliances,2,199.5,345.46,145.96
life,164,344.4,490.26,145.86
beauty,7,34.93,179.33,144.4
beauty,34,143.13,287.4,144.27
life,182,1996.54,2140.72,144.18
beauty,122,979.2,1123.27,144.1
beauty,15,417.13,560.86,143.73
life,23,294.71,437.95,143.24
life,10,81.6,224.62,143.02
beauty,14,776.58,918.96,142.38
beauty,40,502.51,644.08,141.57
appliances,6,201.6,342.2,140.6
life,13,176.15,316.67,140.52
appliances,4,272.76,412.9,140.14
beauty,5,203.01,342.95,139.94
beauty,21,212.93,352.67,139.74
beauty,20,434.11,573.75,139.64
beauty,24,183.06,322.55,139.49
life,26,80.34,219.35,139.01
life,6,176.4,315.36,138.96
appliances,3,365.7,504,138.3
maternal,27,323.96,462.13,138.21
life,40,77.6,215.7,138.1
life,101,159.58,297.4,137.82
life,44,522.6,660.21,137.61
maternal,16,534.07,670.04,135.97
life,487,569.79,705.52,135.73
beauty,22,138.6,274.14,135.54
beauty,6,360,494.82,134.82
snacks,54,768.7,902.81,134.11
life,9,180,313.93,133.93
beauty,68,544.73,678.48,133.75
maternal,15,224.85,358.44,133.59
beauty,15,245.91,379.45,133.54
appliances,3,441,573.98,132.98
beauty,18,347.1,479.62,132.52
beauty,39,409.5,541.7,132.2
appliances,8,369.04,500.92,131.88
beauty,29,328.91,460.48,131.57
appliances,4,674.44,805.97,131.53
appliances,4,136,266.88,130.88
life,19,438.9,569.62,130.72
life,6,56.28,186.74,130.46
appliances,2,470,599.98,129.98
beauty,13,182.36,311.87,129.51
appliances,12,502.6,631.85,129.25
beauty,108,1474.2,1603.37,129.17
life,23,483,611.97,128.97
maternal,7,140,268,128
beauty,39,411.6,539.53,127.93
appliances,18,172.44,300.21,127.77
life,19,206.16,333.71,127.65
beauty,85,1262.15,1389.67,127.52
appliances,5,592.74,720.21,127.47
beauty,27,203.06,330.13,127.07
beauty,42,264.6,391.58,126.98
appliances,5,262.5,389.47,126.97
beauty,5,61.4,188.08,126.68
beauty,33,152.41,278.56,126.15
snacks,119,273.7,399.74,126.04
beauty,10,324,449.8,125.8
appliances,10,1760.72,1885.98,125.26
beauty,72,363.25,488.32,125.07
beauty,5,325,449.95,124.95
beauty,12,306.96,431.88,124.94
life,12,211,335.88,124.88
beauty,3,582.41,706.96,124.55
appliances,9,387.99,512.28,124.29
life,18,260.46,384.52,124.06
life,52,270.27,394.26,123.99
maternal,10,276,399.9,123.9
beauty,14,210.33,334.13,123.8
beauty,23,230,353.55,123.55
life,4,119.66,242.96,123.3
beauty,35,408.03,530.93,122.9
beauty,25,168.03,290.84,122.81
beauty,30,228.82,351.3,122.48
beauty,19,228,350,122
appliances,5,672.3,793.75,121.45
beauty,7,755.99,877.3,121.31
life,24,244.42,365.62,121.2
variable,17,230.01,351.07,121.06
beauty,45,423.45,544.44,120.99
beauty,17,246.33,367.24,120.91
appliances,2,321.3,441.98,120.68
life,9,73.44,194.01,120.57
life,28,82.32,202.43,120.11
appliances,2,1290,1410,120
life,55,212.14,332.12,119.98
life,264,944.02,1063.97,119.95
beauty,121,382.49,502.37,119.88
beauty,5,537.1,656.49,119.39
beauty,23,330.6,449.98,119.38
beauty,7,196,314.93,118.93
life,12,226.68,345.18,118.5
appliances,2,252,369.98,117.98
beauty,8,559.8,677.5,117.7
beauty,42,86.52,203.66,117.14
maternal,14,331.14,448.07,116.93
life,69,239.43,356.22,116.79
appliances,3,615,731.61,116.61
appliances,4,163.8,279.96,116.16
life,3,79.83,195.98,116.15
life,25,242.5,358.58,116.08
life,39,605.67,721.65,115.98
beauty,5,130,245.79,115.79
beauty,2,292.34,407.98,115.64
beauty,16,243.68,358.72,115.04
beauty,23,215.05,330.06,115.01
life,4,126.24,241.21,114.97
life,49,78.4,192.8,114.4
life,13,335,449.29,114.29
life,54,84.24,197.82,113.58
appliances,8,880,993.3,113.3
life,62,513.78,626.46,112.69
life,16,53.6,166.28,112.68
life,30,108,220.55,112.55
appliances,4,336,448.46,112.46
snacks,161,483,594.97,111.97
beauty,21,231.63,343.38,111.75
beauty,22,273.84,385.54,111.7
beauty,178,1708.8,1820.08,111.28
beauty,51,372.03,483.3,111.27
beauty,11,167.53,278.65,111.12
beauty,22,184.8,295.77,110.97
appliances,4,205,315.96,110.96
appliances,14,342,452.73,110.73
life,20,109.4,219.8,110.4
beauty,9,112.27,222.41,110.14
appliances,4,82,191.96,109.96
life,6,48.96,158.91,109.95
life,7,100.45,209.93,109.48
maternal,31,367,476.41,109.41
maternal,37,326.1,435.16,109.06
life,50,178.5,287.52,109.02
beauty,3689,16486.28,16595.07,108.79
beauty,17,254.32,362.89,108.57
life,7,203,311.56,108.56
beauty,11,167.53,276.02,108.49
appliances,4,143.52,251.96,108.44
appliances,2,223.94,331.94,108
beauty,17,266.07,373.95,107.88
beauty,114,1140,1247.63,107.63
beauty,96,1768.8,1876.13,107.33
beauty,78,603.05,710.21,107.24
appliances,5,388.5,495,106.5
appliances,2,73.5,179.98,106.48
beauty,3,248.7,355.17,106.47
beauty,23,2272.16,2378.49,106.33
beauty,15,214.55,320.57,106.02
beauty,5,35.91,141.85,105.94
beauty,12,215.61,321.39,105.78
life,10,104.2,209.57,105.37
beauty,58,536.38,641.68,105.3
appliances,7,205.8,310.5,104.7
beauty,74,765.47,870.08,104.61
beauty,108,61.78,166.38,104.6
beauty,14,342.72,447.03,104.31
beauty,42,896.96,1001.26,104.3
beauty,12,1705.85,1809.74,103.89
life,71,802.97,906.49,103.52
beauty,10,533.28,636.76,103.48
beauty,111,166.5,269.83,103.33
appliances,2,307.94,410.65,102.71
life,48,117.12,218.86,101.74
appliances,3,385.44,487.15,101.71
beauty,6,165,266.5,101.5
beauty,27,333,433.91,100.91
beauty,12,397.16,497.98,100.82
beauty,19,467.94,568.71,100.77
life,6,7.5,108.13,100.63
beauty,3,94.4,194.81,100.41
beauty,20,703.51,803.73,100.22
life,6,50.16,149.94,99.78
beauty,21,162.46,261.78,99.34
maternal,7,172.84,271.93,99.09
beauty,2,200.95,299.98,99.03
life,8,120,219.02,99.02
life,7,357.5,455.21,97.71
life,91,171.99,269.6,97.61
life,23,50.7,148.11,97.41
beauty,2,312.78,410,97.22
life,5,21.08,117.31,96.23
beauty,16,148.32,244.55,96.23
appliances,6,66.42,162.41,95.99
appliances,6,1838.31,1934.2,95.89
beauty,68,733.86,829.73,95.87
beauty,95,1579.44,1675.2,95.76
beauty,31,7.2,102.6,95.4
snacks,39,148.2,243.6,95.4
life,10,234,329.06,95.06
appliances,10,393.9,488.91,95.01
beauty,26,361.96,456.81,94.85
appliances,4,65.12,159.96,94.84
life,8,84.95,179.63,94.68
snacks,60,111.6,206.07,94.47
beauty,109,2519.15,2613.52,94.37
appliances,4,647.8,742,94.2
life,4,32.64,126.8,94.16
snacks,141,211.5,305.64,94.14
beauty,6,126,219.95,93.95
maternal,11,207.7,300.99,93.29
beauty,2,324.82,418,93.18
appliances,2,86.82,179.98,93.16
beauty,6,146.88,239.94,93.06
beauty,9,170.1,263.1,93
beauty,23,308.64,401.62,92.98
beauty,14,182,274.97,92.97
life,6,288.81,381.76,92.95
beauty,48,352.67,445.48,92.81
life,8,147.12,239.76,92.64
appliances,5,44.65,136.95,92.3
life,39,54.99,147.23,92.24
beauty,11,188.78,280.82,92.04
life,12,360,452,92
life,4,112,203.97,91.97
appliances,6,216.9,308.81,91.91
beauty,2,258.33,350,91.67
appliances,3,238.35,329.99,91.64
life,34,42.16,133.72,91.56
life,26,71.5,162.98,91.48
appliances,5,387.92,479.27,91.35
appliances,3,341.94,433.15,91.21
life,49,1749.3,1840.47,91.17
beauty,18,137.26,228.41,91.15
life,8,150.72,241.57,90.85
appliances,3,143.34,233.97,90.63
beauty,22,313.12,403.58,90.46
life,34,219.98,310.32,90.34
appliances,1,609,699,90
beauty,43,344,433.86,89.86
life,31,144,233.83,89.83
beauty,63,763.56,853.15,89.59
beauty,90,474.68,564.22,89.54
beauty,2,223.88,313.18,89.3
appliances,5,246.75,335.96,89.21
life,16,120.76,209.86,89.1
beauty,24,205.24,294.09,88.85
life,39,488.67,577.51,88.84
beauty,44,340.87,429.6,88.73
snacks,95,300.08,388.76,88.68
beauty,7,121.38,209.93,88.55
life,64,45.33,133.17,87.84
beauty,13,168.48,256.25,87.77
beauty,7,201.59,289.27,87.68
snacks,121,145.2,232.78,87.58
beauty,21,262.06,349.6,87.54
life,5,388.5,475.52,87.02
maternal,51,419.7,506.52,86.82
maternal,50,224.06,310.78,86.72
beauty,12,235.8,322.42,86.62
life,18,128.1,214.63,86.53
life,42,29.54,115.8,86.26
appliances,4,248.85,334.96,86.11
maternal,8,532.55,618.6,86.05
appliances,6,30.36,116.25,85.95
appliances,2,90.1,176,85.9
life,7,84.56,170.46,85.9
appliances,4,196.92,282.47,85.59
life,10,299.57,385.07,85.5
life,29,53.07,138.54,85.47
life,11,73.92,159.3,85.38
maternal,18,269.82,355.11,85.29
life,7,132.3,217.53,85.23
snacks,107,160.5,245.72,85.22
beauty,24,471.87,557.06,85.19
maternal,11,299.2,384.18,84.98
life,51,144.84,229.79,84.95
appliances,9,132.3,216.94,84.64
beauty,18,196.2,280.72,84.52
life,8,67.12,151.62,84.5
appliances,4,115.52,199.96,84.44
beauty,19,209.8,294.05,84.25
life,7,23.66,107.74,84.15
beauty,5,145.44,229.45,84.01
life,25,178.75,262.73,83.98
life,24,38.24,122.11,83.89
life,10,498.26,582.05,83.79
life,4,32.64,116.32,83.68
beauty,5,42,125.68,83.68
life,25,17,100.43,83.43
life,12,126.68,210,83.32
snacks,139,159.4,242.6,83.22
beauty,25,250,333.11,83.11
appliances,26,436.8,519.74,82.94
appliances,49,151.49,234.1,82.61
beauty,9,163.02,245.61,82.59
appliances,1,157.5,239.99,82.49
beauty,21,338.89,421.28,82.39
beauty,9,125.16,207.36,82.2
life,8,62.67,144.73,82.06
appliances,4,753.4,835.21,81.81
beauty,66,806.94,888.56,81.62
appliances,3,104.4,185.97,81.57
life,11,58.56,139.82,81.26
snacks,620,695.07,776.27,81.23
appliances,9,57.11,138.31,81.21
maternal,3,188.97,269.97,81
life,2,77.42,158.4,80.98
appliances,6,441,521.95,80.95
beauty,81,772.71,853.5,80.79
life,14,47.88,128.29,80.41
beauty,46,441.6,521.89,80.29
snacks,59,413,493.28,80.28
appliances,1,204.75,284.99,80.24
beauty,3,151.78,231.97,80.19
appliances,12,137.04,217.22,80.18
life,16,72.48,152.49,80.01
life,14,84.96,164.96,80
appliances,6,85.14,164.94,79.8
beauty,9,417.6,497.25,79.65
appliances,3,67.44,146.97,79.53
life,12,42.7,121.63,78.93
beauty,21,170.94,249.84,78.9
beauty,19,118,196.67,78.67
beauty,3,244.59,323.13,78.54
appliances,2,178.5,256.98,78.48
beauty,59,162.25,240.72,78.47
beauty,20,142,220.19,78.19
beauty,26,147.63,225.76,78.13
appliances,4,134.4,212.4,78
life,1,72,149.99,77.99
beauty,8,178.2,256.07,77.87
beauty,8,155.99,233.8,77.81
life,22,127.16,204.95,77.79
life,3,260.22,337.97,77.75
beauty,20,216.36,293.78,77.42
appliances,7,58.59,135.93,77.34
maternal,12,158.73,235.88,77.15
snacks,7,138.81,215.84,77.03
beauty,36,288,364.85,76.85
beauty,8,141.6,218.32,76.72
beauty,28,366.45,442.96,76.51
appliances,2,321.54,397.98,76.44
appliances,2,424.82,501.05,76.23
beauty,9,135,211.11,76.11
beauty,6,266.4,342.46,76.06
beauty,13,327.4,403.41,76.01
beauty,2,284,359.98,75.98
life,9,141.93,217.67,75.74
beauty,29,412.85,488.43,75.59
maternal,10,176.75,251.97,75.22
beauty,177,911.13,986.23,75.1
beauty,12,187.08,262.1,75.02
snacks,40,252,326.96,74.96
beauty,6,216.18,290.75,74.57
beauty,17,213.36,287.65,74.29
maternal,8,207.04,281.1,74.06
appliances,2,126,199.98,73.98
appliances,1,551.25,625,73.75
beauty,83,368.32,442.05,73.73
beauty,7,205.8,279.46,73.66
appliances,2,308.43,381.98,73.55
life,8,131.84,205.32,73.48
beauty,7,322,395.05,73.05
beauty,34,475.8,548.75,72.95
appliances,3,203.19,276,72.81
maternal,3,188.97,260.97,72
snacks,40,92,163.99,71.99
life,24,168,239.93,71.93
beauty,9,173.3,245.01,71.71
beauty,12,1071,1142.48,71.48
life,3,24.48,95.95,71.47
beauty,6,233.94,305.22,71.28
beauty,13,470.98,542.24,71.26
beauty,7,865.21,936.26,71.05
beauty,8,192,262.92,70.92
life,9,244.1,314.9,70.8
appliances,9,190.49,261.17,70.68
life,28,117.6,188.26,70.66
beauty,61,790.56,861.14,70.58
maternal,13,145.72,216.29,70.57
snacks,76,457,527.54,70.54
life,24,30.63,101.07,70.44
appliances,10,94.5,164.92,70.42
life,12,32.76,103.08,70.32
beauty,10,170.94,241.1,70.16
beauty,6,77.28,147.44,70.16
appliances,2,159.98,229.98,70
life,15,123.6,193.57,69.97
appliances,12,730.8,800.52,69.72
maternal,11,403.05,472.66,69.61
beauty,6,468.45,537.88,69.43
life,20,35.4,104.65,69.25
beauty,5,92.5,161.66,69.16
beauty,22,161.7,230.82,69.12
appliances,1,220.5,289,68.5
life,5,29.5,97.95,68.45
appliances,2,441,509.21,68.21
life,2,79.8,147.98,68.18
life,2,46.42,114.5,68.08
life,3,24.48,92.53,68.05
life,48,78.39,146.39,68
life,7,341.89,409.49,67.6
beauty,103,992,1059.58,67.58
beauty,27,291.29,358.85,67.56
appliances,2,69.3,136.8,67.5
appliances,1,122.5,190,67.5
snacks,68,393,460.29,67.29
appliances,1,161.87,229,67.13
beauty,31,223.2,290.02,66.82
appliances,1,183.18,249.99,66.81
beauty,15,153.9,220.69,66.79
life,38,44.73,111.52,66.79
life,49,77.15,143.9,66.76
beauty,23,187.22,253.94,66.72
beauty,50,454.5,521.21,66.71
beauty,22,219,285.59,66.59
life,37,29.87,96.33,66.46
maternal,47,344.34,410.77,66.45
snacks,579,1042.2,1108.64,66.44
life,17,270.81,337.24,66.43
beauty,25,133.13,199.53,66.4
life,3,20.64,86.97,66.33
appliances,4,109.2,175.47,66.27
maternal,6,119.7,185.94,66.24
beauty,5,120,186.15,66.15
appliances,6,44.1,110.14,66.04
life,24,192.59,258.59,66
beauty,9,116.64,182.64,66
appliances,10,83.9,149.8,65.9
life,22,45.54,111.23,65.69
beauty,3,319.98,385.6,65.62
maternal,36,295.92,361.34,65.42
life,5,120.75,186.16,65.41
life,48,521.76,587.12,65.36
life,2,60,125.35,65.35
life,10,32.8,98.09,65.29
life,10,31,96.26,65.26
appliances,3,94.71,159.74,65.03
beauty,36,579.89,644.8,64.91
life,32,42.26,107.14,64.88
beauty,17,118.99,183.61,64.62
life,12,53.16,117.7,64.54
life,36,44.28,108.75,64.47
life,16,108,172.45,64.45
life,78,157.5,221.92,64.42
beauty,36,42.12,106.45,64.33
life,22,145.2,209.5,64.3
life,3,81.9,146.18,64.28
beauty,9,108,172.24,64.24
beauty,5,42.8,106.94,64.14
beauty,8,172.8,236.92,64.12
beauty,15,162,226.04,64.04
beauty,2,0,64,64
beauty,4,96,159.96,63.96
life,5,200,263.95,63.95
snacks,60,138,201.94,63.94
beauty,44,184.8,248.72,63.92
life,9,107.1,170.87,63.77
life,23,31.05,94.61,63.56
maternal,15,262.7,326.22,63.52
life,37,35.61,98.96,63.35
beauty,6,237.6,300.87,63.27
life,50,184,247.05,63.05
life,21,41.79,104.79,63
beauty,3,0,63,63
beauty,3,138.6,201.57,62.97
appliances,3,57,119.97,62.97
maternal,22,229.84,292.8,62.96
beauty,22,221.84,284.77,62.93
life,5,78.75,141.44,62.69
life,3,69.3,131.94,62.64
life,10,315.72,378.32,62.6
beauty,6,108.96,171.54,62.58
appliances,4,85.48,147.96,62.48
appliances,6,115.62,178.05,62.43
life,12,95.16,157.58,62.42
life,11,30.14,92.47,62.33
beauty,21,100.59,162.88,62.29
life,2,58.8,120.98,62.18
beauty,5,125,187.17,62.17
beauty,5,369.7,431.8,62.1
life,9,108,169.88,61.88
life,43,20.64,82.5,61.86
life,30,28.5,90.22,61.72
snacks,24,91.2,152.79,61.59
maternal,40,33.6,94.94,61.34
life,26,191.1,252.2,61.1
life,21,166.76,227.59,60.85
beauty,5,73.85,134.63,60.78
appliances,4,686.23,746.94,60.71
life,16,96,156.68,60.68
appliances,3,236.25,296.66,60.41
life,8,241.92,301.92,60
beauty,6,58,117.94,59.94
life,4,128,187.85,59.85
beauty,8,145.28,205.07,59.79
beauty,12,123.9,183.54,59.64
maternal,6,111.3,170.94,59.64
life,29,62.23,121.79,59.56
appliances,11,105.27,164.78,59.51
maternal,1,110.49,169.99,59.5
beauty,2,192.48,251.98,59.5
life,9,32.67,91.83,59.16
beauty,31,595.32,654.08,58.76
beauty,28,402.92,461.58,58.66
beauty,5,87.3,145.95,58.65
beauty,9,52.02,110.64,58.62
appliances,10,2660.58,2719.14,58.56
snacks,24,91.2,149.6,58.4
snacks,24,91.2,149.58,58.38
beauty,7,113.68,171.97,58.29
life,3,69.33,127.57,58.24
life,48,336.7,394.82,58.12
maternal,27,171.11,229.21,58.1
life,35,75.25,133.31,58.06
life,5,166.55,224.54,57.99
beauty,4,25.64,83.56,57.92
life,49,38.22,96.03,57.81
maternal,10,257.68,315.42,57.74
